Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,PriorExperience
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Human Resources,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,4,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Marketing,Female,2,Sales Executive,Single,19479,5,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Human Resources,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Marketing,Female,2,Sales Executive,Single,19479,5,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,4,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,4,Manager,Divorced,19730,2,Yes,21,5,16
37,Voluntary Resignation,Travel_Rarely,6,4,Human Resources,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,4,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Marketing,Female,2,Sales Executive,Single,19479,5,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Human Resources,Female,1,Human Resources,Married,8635,0,No,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Marketing,Female,2,Sales Executive,Single,19479,5,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,4,Yes,8,6,2
